, 16384, 23170, 32768, 46340
300C02, 1, 1, 1, 1
352C01, 1, 1, 1, 1
013604, 0, 1, 1, 1
060D04, 0, 1, 1, 1
361C20, 0, 1, 1, 1
011840, 0, 0, 1, 1
050402, 0, 0, 1, 1
110B08, 0, 0, 1, 1
1F2508, 0, 0, 1, 1
282404, 0, 0, 1, 1
3A0701, 0, 0, 1, 1
060608, 0, 0, 0, 1
0B2F10, 0, 0, 0, 1
0C2D80, 0, 0, 0, 1
150401, 0, 0, 0, 1
151D08, 0, 0, 0, 1
1B0E01, 0, 0, 0, 1
221704, 0, 0, 0, 1
253F40, 0, 0, 0, 1
273520, 0, 0, 0, 1
300D10, 0, 0, 0, 1
320C08, 0, 0, 0, 1
361508, 0, 0, 0, 1
390401, 0, 0, 0, 1
3C2720, 0, 0, 0, 1
031B08, 0, 0, 0, 0.9759036144578314
3E0F20, 0, 0, 0, 0.024096385542168676
0B0D02, 0, 0, 0, 0.012048192771084338
